,Kitchen_waste_,Fruit_and_vegetable_waste_,Bread_Paste_,Waste_oil_,Total_Waste_,Diesel_waste_water_,Flour_and_waste_oil_,Kitchen_waste_paste_,1_acidification_hydrolysis_tank_feed_,1_acidification_hydrolysis_tank_discharge_,2_acidification_hydrolysis_tank_feed_,2_acidification_hydrolysis_tank_discharge_,1_Anaerobic_tank_slurry_feed_,1_Anaerobic_tank_biogas_cumulative_production_,1_anaerobic_tank_biogas_daily_output_,2_Anaerobic_tank_slurry_feed_,2_anaerobic_tank_biogas_cumulative_production_,2_anaerobic_tank_biogas_daily_output_,acid_feed,acid_discharge,anaerobic_feed,anaerobic_cumuprod,anaerobic_dailyoutput
407,164.54,53.85,0.0,15.59,218.39,44.0,9.0,155.0,155.0,240.0,0.0,0.0,120.0,1259786.0,3994.0,120.0,1560811.0,4011.0,155.0,240.0,240.0,2820597.0,8005.0
408,156.27,44.73,0.0,12.24,201.0,22.0,45.0,141.0,141.0,170.0,0.0,0.0,135.0,1263698.0,3912.0,135.0,1564513.0,3702.0,141.0,170.0,270.0,2828211.0,7614.0
409,167.06,52.51,0.0,16.09,219.57,0.0,22.0,207.0,207.0,200.0,0.0,0.0,100.0,1267849.0,4151.0,100.0,1568136.0,3623.0,207.0,200.0,200.0,2835985.0,7774.0
410,88.26,46.66,0.0,17.96,134.92,0.0,44.0,107.0,107.0,180.0,0.0,0.0,90.0,1271992.0,4143.0,90.0,1571639.0,3503.0,107.0,180.0,180.0,2843631.0,7646.0
411,113.34,32.44,0.0,17.38,145.78,22.0,22.0,89.0,89.0,140.0,0.0,0.0,70.0,1275367.0,3375.0,70.0,1574511.0,2872.0,89.0,140.0,140.0,2849878.0,6247.0
412,132.96,46.59,0.0,10.87,179.55,0.0,0.0,208.0,208.0,170.0,0.0,0.0,85.0,1279028.0,3661.0,85.0,1577926.0,3415.0,208.0,170.0,170.0,2856954.0,7076.0
413,135.21,42.78,0.0,14.4,177.99,0.0,22.0,211.0,211.0,180.0,0.0,0.0,90.0,1282780.0,3752.0,90.0,1582609.0,4683.0,211.0,180.0,180.0,2865389.0,8435.0
414,139.08,52.22,0.0,15.4,191.3,0.0,0.0,173.0,173.0,190.0,0.0,0.0,95.0,1286425.0,3645.0,95.0,1586000.0,3391.0,173.0,190.0,190.0,2872425.0,7036.0
415,137.45,41.18,0.0,11.71,178.63,0.0,0.0,190.0,190.0,200.0,0.0,0.0,100.0,1290722.0,4297.0,100.0,1589953.0,3953.0,190.0,200.0,200.0,2880675.0,8250.0
416,135.5,52.76,0.0,13.22,188.26,22.0,50.0,207.0,207.0,180.0,0.0,0.0,90.0,1295432.0,4710.0,90.0,1594125.0,4172.0,207.0,180.0,180.0,2889557.0,8882.0
